               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.032366,            0.012998,           0.0033053,             0.67517,             0.59988,             0.64061,             0.34049,            0.043077,            0.010803,           0.0095283,            0.002212,            0.002212,            0.002212
                 120,            0.032328,            0.012874,           0.0031604,             0.66775,             0.60794,             0.63985,             0.34049,             0.04311,            0.010823,           0.0095727,            0.002146,            0.002146,            0.002146
                 121,             0.03214,            0.012689,           0.0031498,             0.67116,              0.6038,             0.64008,             0.34016,            0.043143,            0.010845,           0.0096276,             0.00208,             0.00208,             0.00208
                 122,            0.031773,            0.012713,           0.0030395,             0.66962,             0.60611,             0.64014,             0.33967,            0.043182,            0.010869,           0.0096952,            0.002014,            0.002014,            0.002014
                 123,            0.031612,             0.01262,           0.0030267,             0.66925,             0.60583,             0.63916,             0.33957,            0.043223,            0.010892,           0.0097549,            0.001948,            0.001948,            0.001948
                 124,            0.031308,            0.012574,           0.0029927,             0.66239,             0.61272,             0.63842,             0.33916,             0.04326,            0.010918,           0.0098123,            0.001882,            0.001882,            0.001882
                 125,            0.031301,            0.012293,           0.0030761,             0.66172,             0.61505,             0.63797,             0.33878,            0.043294,            0.010945,           0.0098529,            0.001816,            0.001816,            0.001816
                 126,            0.030985,             0.01229,            0.002997,             0.66166,             0.61403,             0.63775,             0.33855,            0.043331,            0.010975,           0.0099061,             0.00175,             0.00175,             0.00175
                 127,            0.030788,            0.012219,           0.0028543,              0.6636,             0.61249,             0.63754,             0.33833,            0.043371,            0.011003,            0.009959,            0.001684,            0.001684,            0.001684
                 128,            0.030677,            0.012143,           0.0029043,             0.66576,             0.61208,             0.63689,             0.33807,            0.043411,            0.011033,            0.010007,            0.001618,            0.001618,            0.001618
                 129,            0.030298,            0.011985,           0.0028233,             0.66778,             0.60888,             0.63644,             0.33811,             0.04346,            0.011064,            0.010059,            0.001552,            0.001552,            0.001552
                 130,             0.03016,            0.012039,           0.0027963,             0.66865,             0.60628,              0.6351,             0.33757,            0.043516,            0.011096,             0.01011,            0.001486,            0.001486,            0.001486
